"importsequencenumber","cr286_record_id","cr286_remarks","cr286_seismic_3d_processing_id","cr286_seismic_3d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_pro_surveyid","owningbusinessunit"
"","R000035","","P3CL35","D3CL37","1","0","","","2377340","10044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000036","","P3CL36","D3CL37","1","0","","","2377339","11044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000034","","P3CL34","D3CL37","1","0","","","2377338","0f044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000030","","P3CL30","D3CL34","1","0","","","2377337","0c044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000029","","P3CL29","D3CL33","1","0","","","2377336","0e044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000031","","P3CL31","D3CL35","1","0","","","2377335","0d044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000032","","P3CL32","D3CL36","1","0","","","2377334","0b044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000027","","P3CL27","D3CL33","1","0","","","2377333","08044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000025","","P3CL25","D3CL32","1","0","","","2377332","07044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000028","","P3CL28","D3CL33","1","0","","","2377331","0a044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000026","","P3CL26","D3CL33","1","0","","","2377330","09044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000024","","P3CL24","D3CL31","1","0","","","2377329","06044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000023","","P3CL23","D3CL30","1","0","","","2377328","04044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000022","","P3CL22","D3CL29","1","0","","","2377327","05044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000021","","P3CL21","D3CL28","1","0","","","2377326","03044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000018","","P3CL18","D3CL25","1","0","","","2377325","ff034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000017","","P3CL17","D3CL24","1","0","","","2377324","02044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000020","","P3CL20","D3CL27","1","0","","","2377323","01044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000019","","P3CL19","D3CL26","1","0","","","2377322","00044f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000015","","P3CL15","D3CL22","1","0","","","2377321","fe034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000014","","P3CL14","D3CL21","1","0","","","2377320","fc034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000013","","P3CL13","D3CL20","1","0","","","2377319","fb034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000016","","P3CL16","D3CL23","1","0","","","2377318","fd034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000012","","P3CL12","D3CL20","1","0","","","2377317","fa034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000010","","P3CL10","D3CL19","1","0","","","2377316","f7034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000009","","P3CL9","D3CL18","1","0","","","2377315","f9034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000011","","P3CL11","D3CL2","1","0","","","2377314","f8034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000006","","P3CL6","D3CL13","1","0","","","2377313","f6034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000005","","P3CL5","D3CL12","1","0","","","2377312","f3034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000007","","P3CL7","D3CL14","1","0","","","2377311","f4034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000008","","P3CL8","D3CL15","1","0","","","2377310","f5034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000004","","P3CL4","D3CL11","1","0","","","2377309","f1034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000001","","P3CL1","D3CL1","1","0","","","2377308","f2034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000002","","P3CL2","D3CL1","1","0","","","2377307","f0034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","R000003","","P3CL3","D3CL10","1","0","","","2377306","ef034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
