"cr286_crs_id","importsequencenumber","cr286_point_id","cr286_point_name","cr286_seismic_3d_survey_id","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_coordinateid","cr286_x","cr286_y","owningbusinessunit"
"EVEREST_1830_TM_106","","R000032","Coordinate of Point 1","D3NCS6","1","0","","","2405409","fdd4e406-d0fa-ee11-9f89-000d3aa02f9f","833747","919978","bdc98465-7de8-ee11-a203-00224856dfbe"
"EVEREST_1830_TM_106","","R000027","Coordinate of Point 1","D3NCS3","1","0","","","2405408","f7d4e406-d0fa-ee11-9f89-000d3aa02f9f","818746","939986","bdc98465-7de8-ee11-a203-00224856dfbe"
"EVEREST_1830_TM_106","","R000028","Coordinate of Point 1","D3NCS3","1","0","","","2405407","fad4e406-d0fa-ee11-9f89-000d3aa02f9f","832487","908233","bdc98465-7de8-ee11-a203-00224856dfbe"
"EVEREST_1830_TM_106","","R000026","Coordinate of Point 1","D3NCS3","1","0","","","2405406","f9d4e406-d0fa-ee11-9f89-000d3aa02f9f","765534","936386","bdc98465-7de8-ee11-a203-00224856dfbe"
"EVEREST_1830_TM_106","","R000025","Coordinate of Point 1","D3CL31","1","0","","","2405405","f8d4e406-d0fa-ee11-9f89-000d3aa02f9f","703370","1040803","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000022","Coordinate of Point 1","D3CL26","1","0","","","2405404","f3d4e406-d0fa-ee11-9f89-000d3aa02f9f","861347","1094338","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000023","Coordinate of Point 1","D3CL27","1","0","","","2405403","f4d4e406-d0fa-ee11-9f89-000d3aa02f9f","821906","1091206","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000021","Coordinate of Point 1","D3CL25","1","0","","","2405402","f5d4e406-d0fa-ee11-9f89-000d3aa02f9f","891877","1103429","bdc98465-7de8-ee11-a203-00224856dfbe"
"EVEREST_1830_TM_106","","R000024","Coordinate of Point 1","D3CL29","1","0","","","2405401","f6d4e406-d0fa-ee11-9f89-000d3aa02f9f","683765","1054288.5","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000019","Coordinate of Point 1","D3CL22","1","0","","","2405400","efd4e406-d0fa-ee11-9f89-000d3aa02f9f","824978","1099707","bdc98465-7de8-ee11-a203-00224856dfbe"
"EVEREST_1830_TM_106","","R000017","Coordinate of Point 1","D3NCS1","1","0","","","2405399","f2d4e406-d0fa-ee11-9f89-000d3aa02f9f","771896","924875","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000018","Coordinate of Point 1","D3CL21","1","0","","","2405398","f1d4e406-d0fa-ee11-9f89-000d3aa02f9f","857049","1135745","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000020","Coordinate of Point 1","D3CL24","1","0","","","2405397","f0d4e406-d0fa-ee11-9f89-000d3aa02f9f","925713","1219894","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","R000013","Coordinate of Point 1","D3CL16","1","0","","","2405396","ecd4e406-d0fa-ee11-9f89-000d3aa02f9f","721050","2214531","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","R000014","Coordinate of Point 1","D3CL17","1","0","","","2405395","edd4e406-d0fa-ee11-9f89-000d3aa02f9f","670852","2237736","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000016","Coordinate of Point 1","D3CL20","1","0","","","2405394","eed4e406-d0fa-ee11-9f89-000d3aa02f9f","843710","1124583","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS85_TM_109E","","R000015","Coordinate of Point 1","D3CL19","1","0","","","2405393","ebd4e406-d0fa-ee11-9f89-000d3aa02f9f","444868","1157579","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","R000011","Coordinate of Point 1","D3CL12","1","0","","","2405392","e7d4e406-d0fa-ee11-9f89-000d3aa02f9f","439242","1119221","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000012","Coordinate of Point 1","D3CL13","1","0","","","2405391","e8d4e406-d0fa-ee11-9f89-000d3aa02f9f","882430","1189048","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS72_BE_TM_106NE","","R000009","Coordinate of Point 1","D3CL10","1","0","","","2405390","ead4e406-d0fa-ee11-9f89-000d3aa02f9f","730698.9","1103400.3","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS85_TM_109E","","R000010","Coordinate of Point 1","D3CL11","1","0","","","2405389","e9d4e406-d0fa-ee11-9f89-000d3aa02f9f","872828.85","1158601.45","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000005","Coordinate of Point 1","D3CL5","1","0","","","2405388","e4d4e406-d0fa-ee11-9f89-000d3aa02f9f","835830","1078542","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS72_BE_TM_106NE","","R000007","Coordinate of Point 1","D3CL8","1","0","","","2405387","e3d4e406-d0fa-ee11-9f89-000d3aa02f9f","732899","1101611.61","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS72_BE_TM_106NE","","R000008","Coordinate of Point 1","D3CL9","1","0","","","2405386","e5d4e406-d0fa-ee11-9f89-000d3aa02f9f","704468.6","1118379.8","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_TM_108","","R000006","Coordinate of Point 1","D3CL7","1","0","","","2405385","e6d4e406-d0fa-ee11-9f89-000d3aa02f9f","574587","930372","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000003","Coordinate of Point 1","D3CL3","1","0","","","2405384","e0d4e406-d0fa-ee11-9f89-000d3aa02f9f","768000","1080000","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000001","Coordinate of Point 1","D3CL1","1","0","","","2405383","e1d4e406-d0fa-ee11-9f89-000d3aa02f9f","758727.8","1054852.6","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000002","Coordinate of Point 1","D3CL2","1","0","","","2405382","dfd4e406-d0fa-ee11-9f89-000d3aa02f9f","858818","1148027","bdc98465-7de8-ee11-a203-00224856dfbe"
"WGS84_UTM_ZONE_48N","","R000004","Coordinate of Point 1","D3CL4","1","0","","","2405381","e2d4e406-d0fa-ee11-9f89-000d3aa02f9f","871741.97","1067269.07","bdc98465-7de8-ee11-a203-00224856dfbe"
