"cr286_area_km2","cr286_contractor_id","cr286_date_of_processing_commence","cr286_date_of_processing_completion","importsequencenumber","cr286_operator_id","cr286_processing_grid_m","cr286_processing_result","cr286_processing_type","cr286_remarks","cr286_seismic_3d_processing_id","cr286_seismic_3d_processing_name","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_processingid","owningbusinessunit"
"","","","","","VRJ","","","","","P3CL38","PVEP2014.09-2/09.3D/PVEP10/PVEP11","1","0","","","2377263","c1034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"6367.65","GECO","1905-06-15 00:00:00.0000000","","","VSP","12.5x12.5","Final Migration","Time","","P3CL39","HOANVU04.09-2.3D/HOANVU04","1","0","4","","2377262","c4034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"537","CGG_VERITAS","2008-11-01 00:00:00.0000000","2009-04-01 00:00:00.0000000","","THANG_LONG_JOC","","Pre-stack Time Migration","Time","","P3CL37","PVEP2010.09-2/10_01/10_02/10.3D/PVEP2004/PVEP2010/PVEP2014","1","0","4","","2377261","c2034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","PVN_GOLDEN","1997-05-31 00:00:00.0000000","1997-06-02 00:00:00.0000000","","VSP","12.5x12.5","Depth to Time Migration","Depth","","P3CL40","HOANVU04.09-2.3D/HOANVU04","1","0","4","","2377260","c3034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","FAIRFIELD_VN","2013-11-01 00:00:00.0000000","","","PVEP_POC","12.5x18.75","Anisotropic Pre-stack Depth Migration","Depth","","P3CL33","HOANGLONG00.16-1.3D/HOANGLONG12","1","0","4","","2377259","c0034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","","","PVEP_POC","6.25x32.5","","","","P3CL35","HOANGLONG03.16-1.3D/HOANGLONG12","1","0","","","2377258","bf034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"1350","VERITAS_GEO","2005-10-11 00:00:00.0000000","2006-02-08 00:00:00.0000000","","THANG_LONG_JOC","12.5x12.5","Pre-stack Time Migration","Time","","P3CL36","HOANGLONG06.16-1.3D/HOANGLONG12","1","0","4","","2377257","bd034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"1168","CGG_SIG","2015-06-01 00:00:00.0000000","2015-10-01 00:00:00.0000000","","PVEP_POC","12.5x12.5","Pre-stack Depth Migration","Depth","","P3CL34","HOANGLONG02.16-1.3D/HOANGLONG12","1","0","4","","2377256","be034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"500","CGG_VERITAS","2011-04-01 00:00:00.0000000","2012-02-01 00:00:00.0000000","","PVEP_POC","","Pre-stack Depth Migration","Depth","","P3CL29","VSP01.09.BH.3D/VSP92","1","0","4","","2377255","bc034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
"1007","CGG","2012-10-05 00:00:00.0000000","2013-04-01 00:00:00.0000000","","PVEP_POC","12.5x12.5","Pre-stack Time Migration","Time","","P3CL31","VSP04.09-1.3D/VSP04","1","0","4","","2377254","ba034f78-98fa-ee11-9f89-000d3aa02f9f","bdc98465-7de8-ee11-a203-00224856dfbe"
