"cr286_active_channel","cr286_cable_length_m","cr286_cource_type","cr286_date_of_acquisition_commence","cr286_date_of_acquisition_completion","cr286_fold_coverage_m","cr286_group_interval_m","cr286_gun_depth_m","importsequencenumber","cr286_operator_id","cr286_record_length_ms","cr286_recording_format","cr286_remarks","cr286_sample_rate_ms","cr286_seismic_3d_survey_id","cr286_seismic_3d_survey_name","cr286_shotpoint_interval_m","cr286_source","statuscode","statecode","cr286_survey_area_km2","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","cr286_vpins_3d_seismic_acquisitionid","cr286_water_depth_from_m","cr286_water_depth_to_m","owningbusinessunit"
"1944","4050","Airgun","","","","12.5","6","","VSP","5000","Seg-D","","2","D3CL36","VSP04.17.3D","18.75","BCA001681","1","0","500","","","2405195","24d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"480","3000","Airgun","","1991-08-01 00:00:00.0000000","60","12.5","6","","VSP","5000","Seg-D","","2","D3CL34","VSP92.09.DH.3D","25","FBCA000978","1","0","","4","","2405194","27d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"480","3400","Airgun","1992-05-01 00:00:00.0000000","1992-06-01 00:00:00.0000000","60","12.5","6","","VSP","5000","Seg-D","","2","D3CL33","VSP92.09.BH.3D","25","FBCA002012","1","0","290","4","","2405193","25d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"1944","4050","Airgun","2003-10-17 00:00:00.0000000","2003-10-25 00:00:00.0000000","54","12.5","6","","VSP","5000","Seg-D","","2","D3CL35","VSP04.09-1.3D","18.75","BCA001738","1","0","75","4","","2405192","26d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"480","3000","Airgun","1993-03-14 00:00:00.0000000","1993-04-27 00:00:00.0000000","60","12.5","6","","VSP","6144","Seg-D","","2","D3CL30","VSP93.RONG.3D","25","FBCA000538","1","0","6367.65","4","","2405191","23d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"","","","","","","","","","VRJ","","","","","D3CL29","VRJ17.3D","","BC_E.Oil17_092","1","0","","","","2405190","20d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"960","","Airgun","1996-05-22 00:00:00.0000000","1996-06-02 00:00:00.0000000","60","12.5","6","","VSP","5632","Seg-D","","2","D3CL31","VSP96.RONG.3D","25","FBCA001855","1","0","","4","","2405189","22d4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"1920","4000","Airgun","2002-09-10 00:00:00.0000000","2002-10-07 00:00:00.0000000","40","12.5","6","","VSP","6144","Seg-D","","2","D3CL32","VSP02.NR-DM.09-1.3D","25","FBCA011318","1","0","130","4","","2405188","21d4e406-d0fa-ee11-9f89-000d3aa02f9f","35","55","bdc98465-7de8-ee11-a203-00224856dfbe"
"2304","4800","Airgun","2008-08-08 00:00:00.0000000","2008-09-20 00:00:00.0000000","48","12.5","6","","THANG_LONG_JOC","6144","Seg-D","","2","D3CL28","THANGLONG08.15-2.3D","25","BC_T.LONG15.2-01_186","1","0","537","4","","2405187","1fd4e406-d0fa-ee11-9f89-000d3aa02f9f","","","bdc98465-7de8-ee11-a203-00224856dfbe"
"3840","6000","Airgun","2005-07-31 00:00:00.0000000","2005-09-23 00:00:00.0000000","80","12.5","8","","PGS_EXP","6000","Seg-D","","2","D3CL27","THANGLONG05.15-2.3D","18.75","BC_T.LONG15.2-01_043","1","0","1350","4","","2405186","1ed4e406-d0fa-ee11-9f89-000d3aa02f9f","8","50","bdc98465-7de8-ee11-a203-00224856dfbe"
